"Products","Year","Production_Quantity","Consumption_Quantity"
"ATF",1998,2286,2112
"ATF",1999,2271,2200
"ATF",2000,2510,2250
"ATF",2001,2586,2263
"ATF",2002,3022,2271
"ATF",2003,4302,2484
"ATF",2004,5197,2813
"ATF",2005,6194,3299
"ATF",2006,7850,3983
"ATF",2007,9103,4543
"ATF",2008,8356,4423
"ATF",2009,9304,4627
"ATF",2010,9817,5078
"ATF",2011,10061,5536
"ATF",2012,10089,5270
"ATF",2013,11210,5505
"ATF",2014,11086,5723
"ATF",2015,11793,6262
"ATF",2016,13806,6998
"ATF",2017,14652,7633
"ATF",2018,15479,8300
"ATF",2019,15238,7999
"ATF",2020,7092,3698
"ATF",2021,10294,5008
"Bitumen",1998,2419,2412
"Bitumen",1999,2487,2879
"Bitumen",2000,2721,2714
"Bitumen",2001,2561,2584
"Bitumen",2002,2942,2986
"Bitumen",2003,3379,3373
"Bitumen",2004,3347,3339
"Bitumen",2005,3575,3508
"Bitumen",2006,3838,3832
"Bitumen",2007,4450,4506
"Bitumen",2008,4620,4747
"Bitumen",2009,4873,4934
"Bitumen",2010,4446,4536
"Bitumen",2011,4599,4638
"Bitumen",2012,4670,4676
"Bitumen",2013,4773,5007
"Bitumen",2014,4690,5073
"Bitumen",2015,5157,5938
"Bitumen",2016,5185,5935
"Bitumen",2017,5268,6086
"Bitumen",2018,5564,6708
"Bitumen",2019,4892,6720
"Bitumen",2020,4902,7524
"Bitumen",2021,5111,7816
"FO & LSHS",1998,11028,12511
"FO & LSHS",1999,11347,12453
"FO & LSHS",2000,11465,12653
"FO & LSHS",2001,12228,12982
"FO & LSHS",2002,12305,12738
"FO & LSHS",2003,13710,12945
"FO & LSHS",2004,14815,13540
"FO & LSHS",2005,14118,12829
"FO & LSHS",2006,15524,12618
"FO & LSHS",2007,15957,12717
"FO & LSHS",2008,17760,12588
"FO & LSHS",2009,17884,11629
"FO & LSHS",2010,20657,10789
"FO & LSHS",2011,19433,9307
"FO & LSHS",2012,15804,7656
"FO & LSHS",2013,13460,6236
"FO & LSHS",2014,12176,5961
"FO & LSHS",2015,10691,6632
"FO & LSHS",2016,12031,7150
"FO & LSHS",2017,10290,6721
"FO & LSHS",2018,9968,6564
"FO & LSHS",2019,9253,6302
"FO & LSHS",2020,7431,5586
"FO & LSHS",2021,8921,6262
"HSD",1998,26716,37217
"HSD",1999,34769,39295
"HSD",2000,39048,37958
"HSD",2001,39944,36546
"HSD",2002,40254,36645
"HSD",2003,43129,37074
"HSD",2004,46081,39650
"HSD",2005,47803,40191
"HSD",2006,53676,42896
"HSD",2007,58482,47669
"HSD",2008,64139,51710
"HSD",2009,73249,56242
"HSD",2010,77685,60071
"HSD",2011,82929,64750
"HSD",2012,91090,69080
"HSD",2013,93783,68364
"HSD",2014,94337,69416
"HSD",2015,98588,74647
"HSD",2016,102106,76027
"HSD",2017,108055,81073
"HSD",2018,110556,83528
"HSD",2019,111120,82602
"HSD",2020,100441,72713
"HSD",2021,107176,76659
"LDO",1998,1336,1278
"LDO",1999,1625,1512
"LDO",2000,1482,1399
"LDO",2001,1691,1592
"LDO",2002,2049,2064
"LDO",2003,1628,1619
"LDO",2004,1385,1477
"LDO",2005,944,882
"LDO",2006,803,720
"LDO",2007,713,667
"LDO",2008,609,552
"LDO",2009,472,457
"LDO",2010,597,455
"LDO",2011,502,415
"LDO",2012,400,398
"LDO",2013,423,386
"LDO",2014,351,365
"LDO",2015,429,407
"LDO",2016,629,449
"LDO",2017,553,524
"LDO",2018,681,598
"LDO",2019,620,628
"LDO",2020,729,855
"LDO",2021,805,1017
"LPG",1998,3599,5352
"LPG",1999,4484,6422
"LPG",2000,6149,7016
"LPG",2001,6992,7728
"LPG",2002,7288,8351
"LPG",2003,7651,9305
"LPG",2004,7817,10245
"LPG",2005,7717,10456
"LPG",2006,8454,10849
"LPG",2007,8868,12010
"LPG",2008,9335,12191
"LPG",2009,10345,13135
"LPG",2010,9623,14331
"LPG",2011,9554,15350
"LPG",2012,9831,15601
"LPG",2013,10032,16294
"LPG",2014,9840,18000
"LPG",2015,10568,19623
"LPG",2016,11253,21608
"LPG",2017,12364,23342
"LPG",2018,12786,24907
"LPG",2019,12823,26330
"LPG",2020,12072,27558
"LPG",2021,12238,28253
"MS",1998,5573,5507
"MS",1999,6231,5909
"MS",2000,8068,6613
"MS",2001,9702,7011
"MS",2002,10363,7570
"MS",2003,11211,7897
"MS",2004,11058,8250
"MS",2005,10508,8646
"MS",2006,12536,9286
"MS",2007,14174,10332
"MS",2008,16367,11258
"MS",2009,22554,12818
"MS",2010,25803,14194
"MS",2011,27207,14992
"MS",2012,30120,15744
"MS",2013,30275,17128
"MS",2014,32233,19075
"MS",2015,35321,21846
"MS",2016,36581,23765
"MS",2017,37774,26174
"MS",2018,38039,28284
"MS",2019,38616,29975
"MS",2020,35779,27969
"MS",2021,40238,30849
"Naphtha",1998,7819,9221
"Naphtha",1999,9634,10892
"Naphtha",2000,11486,11680
"Naphtha",2001,10843,11755
"Naphtha",2002,11310,11962
"Naphtha",2003,12641,11868
"Naphtha",2004,15796,13993
"Naphtha",2005,16016,12194
"Naphtha",2006,18176,13886
"Naphtha",2007,17993,13294
"Naphtha",2008,16797,13911
"Naphtha",2009,18782,10134
"Naphtha",2010,19319,10676
"Naphtha",2011,18707,11222
"Naphtha",2012,18852,12289
"Naphtha",2013,18506,11305
"Naphtha",2014,17466,11082
"Naphtha",2015,17861,13271
"Naphtha",2016,19723,13241
"Naphtha",2017,19993,12889
"Naphtha",2018,19600,14131
"Naphtha",2019,20577,14268
"Naphtha",2020,19381,14100
"Naphtha",2021,19994,13246
"Others",1998,2111,2709
"Others",1999,4123,3626
"Others",2000,7750,6486
"Others",2001,7885,7539
"Others",2002,8937,9134
"Others",2003,9841,10956
"Others",2004,8574,8932
"Others",2005,8763,11667
"Others",2006,11140,13174
"Others",2007,12648,13844
"Others",2008,11491,12916
"Others",2009,19238,14525
"Others",2010,20328,11980
"Others",2011,23441,13695
"Others",2012,29336,18840
"Others",2013,30848,21017
"Others",2014,31264,23738
"Others",2015,33955,29220
"Others",2016,36222,34027
"Others",2017,41062,37880
"Others",2018,45627,36737
"Others",2019,46590,36906
"Others",2020,43294,32493
"Others",2021,47615,31092
"SKO",1998,5522,12243
"SKO",1999,5965,11898
"SKO",2000,8899,11307
"SKO",2001,9911,10431
"SKO",2002,10204,10404
"SKO",2003,10148,10230
"SKO",2004,9207,9395
"SKO",2005,8979,9540
"SKO",2006,8621,9505
"SKO",2007,8025,9365
"SKO",2008,8461,9303
"SKO",2009,8833,9304
"SKO",2010,7898,8928
"SKO",2011,8019,8229
"SKO",2012,8056,7502
"SKO",2013,7431,7165
"SKO",2014,7634,7087
"SKO",2015,7503,6826
"SKO",2016,5978,5397
"SKO",2017,4280,3845
"SKO",2018,4056,3460
"SKO",2019,3211,2397
"SKO",2020,2393,1798
"SKO",2021,1913,1493
