"year","import_export","crude_oil","lpg","ms","naphtha","atf","sko","hsd","ldo","lobs_lube_oil","fuel_oil","bitumen","others","total"
1998,"import",39808,1722,251,2407,0,7065,10231,0,396,1696,0,3,63579
1999,"import",57805,1587,0,1917,0,6312,5006,0,407,1377,0,1,74412
2000,"import",74097,853,0,3165,0,1918,0,0,255,1728,0,1348,83364
2001,"import",78706,659,0,3308,0,391,31,0,326,1977,9,308,85715
2002,"import",81989,1073,0,2784,0,698,106,0,340,2220,0,7,89217
2003,"import",90434,1708,0,2371,0,804,100,0,612,1728,6,672,98435
2004,"import",95861,2334,233,2214,0,210,814,0,557,1585,21,860,104689
2005,"import",99409,2883,486,2331,0,1044,801,0,1189,2015,23,2669,112850
2006,"import",111502,2278,421,5307,0,1424,968,0,1021,2983,14,3244,129162
2007,"import",121672,2833,328,5983,0,2489,2951,0,1253,3659,35,2931,144134
2008,"import",132775,2423,397,5023,0,1448,2742,0,986,2760,105,2702,151361
2009,"import",159259,2718,385,1734,0,985,2531,0,1419,896,69,3928,173924
2010,"import",163595,4484,1702,2063,0,1381,1996,0,1291,1013,98,3352,180975
2011,"import",171729,5790,654,2091,0,564,1059,0,1434,1203,78,2977,187579
2012,"import",184795,6301,147,1762,0,0,528,0,1977,1038,102,4501,201151
2013,"import",189238,6567,235,1020,0,0,77,0,2090,1331,246,5130,205934
2014,"import",189435,8313,372,1034,140,30,124,0,2148,902,517,7722,210737
2015,"import",202850,8959,1012,2931,286,41,177,0,2264,1170,879,11735,232304
2016,"import",213932,11097,476,2777,338,0,1008,0,2131,925,951,16585,250220
2017,"import",220433,11380,174,2212,300,0,1361,0,2539,1213,950,15333,255895
2018,"import",226498,13235,670,2082,259,0,555,0,2457,1419,877,11794,259846
2019,"import",226955,14809,2146,1662,65,0,2796,0,2675,4583,1630,13423,270744
2020,"import",196461,16476,1351,1199,0,3,648,0,2693,6454,2055,12369,239709
2021,"import",212382,17043,671,237,0,0,43,0,3058,8980,2581,6403,251398
2022,"import",232732,18309,1069,897,0,0,328,0,2152,8563,2787,10437,277274
1998,"export",0,0,0,720,0,0,0,0,0,0,0,0,720
1999,"export",0,0,131,583,0,0,0,0,0,0,0,32,746
2000,"export",0,0,1202,2882,160,0,1597,10,0,508,0,2006,8365
2001,"export",0,0,2406,2535,194,0,2860,30,0,482,0,1578,10085
2002,"export",0,0,2336,2067,697,0,3178,0,23,1120,0,868,10289
2003,"export",0,0,2979,2176,1660,0,6181,0,17,1310,4,293,14620
2004,"export",0,145,2897,2926,2480,207,7286,0,5,1792,47,427,18212
2005,"export",0,53,2417,5066,2828,121,8504,0,291,1815,33,2333,23461
2006,"export",0,112,3615,8411,3652,150,11369,0,509,3759,66,1980,33623
2007,"export",0,99,4258,9297,4486,137,14308,0,311,4718,43,3122,40779
2008,"export",0,109,5440,7601,3701,77,14720,0,139,6207,45,905,38944
2009,"export",0,131,9771,10043,4588,46,18451,41,28,5186,31,2839,51155
2010,"export",0,154,13578,10655,4478,33,20335,98,29,6734,56,2927,59077
2011,"export",0,174,14524,10139,4561,34,20407,84,27,7895,5,2988,60838
2012,"export",0,200,16657,8647,4664,23,22464,9,59,5922,87,4675,63407
2013,"export",0,227,15247,8322,5745,15,26469,30,20,6159,95,5535,67864
2014,"export",0,254,16048,7008,5520,15,25559,6,11,4762,94,4653,63930
2015,"export",0,195,16817,7116,5686,10,24037,0,17,2806,101,3753,60538
2016,"export",0,317,15417,8727,7271,15,27302,151,13,2248,38,4017,65516
2017,"export",0,359,14036,8951,7183,17,29717,18,13,2525,64,3949,66832
2018,"export",0,417,12885,6963,7389,19,27833,99,8,2197,23,3264,61097
2019,"export",0,463,12710,8897,6906,176,31653,0,8,1527,25,3319,65684
2020,"export",0,452,11606,6509,3544,15,30576,0,15,1177,7,2867,56768
2021,"export",0,513,13482,6861,5186,14,32407,0,10,1757,6,2517,62753
2022,"export",0,534,13118,5714,7264,11,28535,1,12,1841,9,4001,61040
